zipcode,number_of_returns,income
55313,450,198387
,,
55314,570,"33,896"
55314,170,2112
55314,160,6027
55314,90,5497
55314,60,4984
55314,90,15276
55314,**,**
,,
55315,"2,370","225,525"
55315,540,5786
55315,360,13973
55315,310,19712
55315,290,25496
55315,660,93185
55315,210,67373
,,
55316,"12,170","897,549"
55316,3410,39378
55316,2480,93446
55316,1820,114530
55316,1500,131503
55316,2460,333707
55316,500,184985
,,
55317,"10,650","1,388,159"
55317,2860,27990
55317,1500,56984
55317,1170,73683
55317,960,85008
55317,2420,351157
55317,1740,793337
,,
55318,"13,380","1,202,144"
55318,3790,42365
55318,2750,103043
55318,1820,113877
55318,1290,114095
55318,2610,367211
55318,1120,461553
,,
55319,"2,590","184,173"
55319,760,8707
55319,510,19440
55319,360,22898
55319,340,29786
55319,540,72588
55319,80,30754
,,
55320,"2,500","182,694"
55320,700,8526
55320,580,21747
55320,430,27205
55320,290,25256
55320,410,53246
55320,90,46714
,,
55321,"2,360","131,492"
55321,870,9867
55321,530,20354
55321,380,24161
55321,250,22267
55321,290,38522
55321,40,16321
,,
55322,"1,650","120,086"
55322,440,4964
55322,300,11281
55322,260,16283
55322,250,22100
55322,330,44101
55322,70,21357
,,
55324,590,"45,385"
55324,150,1894
55324,140,5253
55324,90,5613
55324,90,8120
55324,90,12653
55324,30,11852
,,
55325,"2,090","131,186"
55325,650,7483
55325,480,17763
55325,330,20760
55325,280,25050
55325,290,38824
55325,60,21306
,,
55327,"1,860","174,748"
55327,500,5457
55327,310,11798
55327,270,16650
55327,230,20553
55327,410,56142
55327,140,64148
,,
55328,"4,290","334,702"
55328,1310,13661
55328,820,30707
55328,520,32969
55328,480,42501
55328,920,126604
55328,240,88260
,,
55329,910,"46,886"
55329,320,3795
55329,250,9312
55329,140,8984
55329,100,9208
55329,100,15587
55329,**,**
,,
55330,"18,940","1,366,164"
55330,5470,63020
55330,3690,138481
55330,2900,182428
55330,2340,206244
55330,3840,517930
55330,700,258061
,,
55331,"9,130","2,058,287"
55331,2470,24137
55331,1210,45382
55331,850,53830
55331,700,62351
55331,1860,272257
55331,2040,1600330
,,
55332,890,"51,331"
55332,300,3766
55332,240,9345
55332,150,9688
55332,90,8244
55332,110,20288
55332,**,**
,,
55333,350,"17,071"
55333,120,1581
55333,100,3812
55333,60,3686
55333,40,3369
55333,30,4623
55333,**,**
,,
55334,"1,440","70,219"
55334,480,5786
55334,420,15470
55334,260,16470
55334,150,13308
55334,130,19185
55334,**,**
,,
55335,770,"39,186"
55335,260,3248
55335,210,7841
55335,140,8877
55335,90,7579
55335,70,11641
55335,**,**
,,
55336,"4,000","216,422"
55336,1290,16641
55336,1100,40874
55336,650,40754
55336,470,41597
55336,440,56455
55336,50,20101
,,
55337,"24,050","1,507,968"
55337,7620,95240
55337,6110,227071
55337,3650,227228
55337,2410,212250
55337,3580,484535
55337,680,261644
,,
55338,580,"31,968"
55338,150,1765
55338,150,5751
55338,120,7258
55338,80,6832
55338,80,10362
55338,**,**
,,
55339,510,"31,470"
55339,150,1852
55339,130,5077
55339,70,4198
55339,60,5167
55339,100,15176
55339,**,**
,,
55340,"3,440","674,763"
55340,940,9957
55340,440,16194
55340,300,18881
55340,310,27078
55340,700,102778
55340,750,499875
,,
55341,"1,370","127,859"
55341,330,3534
55341,160,5928
55341,160,9909
55341,180,15635
55341,450,61735
55341,90,31118
,,
55342,920,"62,198"
55342,300,3911
55342,230,8791
55342,140,8938
55342,110,9348
55342,100,13716
55342,40,17494
,,
55343,"14,340","1,015,764"
55343,4200,51054
55343,3750,140986
55343,2590,162293
55343,1360,119435
55343,1800,245793
55343,640,296203
,,
55344,"8,210","682,022"
55344,2020,25880
55344,2050,77115
55344,1490,93663
55344,1040,90411
55344,1150,156969
55344,460,237984
,,
55345,"11,240","1,303,873"
55345,3030,32179
55345,1680,63382
55345,1270,80084
55345,1140,101132
55345,2700,385074
55345,1420,642022
,,
55346,"8,790","927,725"
55346,2250,23270
55346,1340,50621
55346,1050,65605
